Feature,F-value,p-value
MSSubClass_30.0,88.04568494365702,2.3638062616143646e-20
MSSubClass_40.0,0.39060186958092125,0.5320809994043573
MSSubClass_45.0,10.09227419430602,0.0015201266846003507
MSSubClass_50.0,36.698515921454444,1.751828793180143e-09
MSSubClass_60.0,241.85073064203877,1.4171479320760954e-50
MSSubClass_70.0,1.986102249924101,0.15896226658892748
MSSubClass_75.0,0.3398047894107062,0.5600320677448518
MSSubClass_80.0,1.1973747352503452,0.2740277571743094
MSSubClass_85.0,3.5287128235903045,0.06051399312062758
MSSubClass_90.0,19.421787991136032,1.1247186543388955e-05
MSSubClass_120.0,5.799465784675163,0.01615450614815051
MSSubClass_160.0,18.872162116958627,1.4944247966261302e-05
MSSubClass_180.0,9.922155780613966,0.0016661723988606405
MSSubClass_190.0,12.880184586930394,0.00034307469613152787
OverallQual_2.0,7.983200662466312,0.004785688658656623
OverallQual_3.0,28.588063857906963,1.0380427703526432e-07
OverallQual_4.0,113.00860183033048,1.7898901086519442e-25
OverallQual_5.0,223.72897272878865,3.624038329845234e-47
OverallQual_6.0,30.329422403206813,4.3026802230663207e-08
OverallQual_7.0,47.931027403085096,6.596166628597749e-12
OverallQual_8.0,323.21662277383734,1.976963581266569e-65
OverallQual_9.0,293.4006525822653,4.5465655567995984e-60
OverallQual_10.0,220.57598654184807,1.4321069374067348e-46
OverallCond_2.0,1.205288291247953,0.2724485470136833
OverallCond_3.0,25.571265605297203,4.804053685792814e-07
OverallCond_4.0,35.18733473986892,3.734292338914293e-09
OverallCond_5.0,163.1423900959338,1.720294995795029e-35
OverallCond_6.0,35.915202358781045,2.592963833299046e-09
OverallCond_7.0,19.855350888082842,8.991114103300177e-06
OverallCond_8.0,7.697879917066533,0.00559911434573695
OverallCond_9.0,4.366302234564889,0.03682941138260452
YearBuilt_1875.0,1.1981248719181814,0.2738775698274638
YearBuilt_1880.0,0.24648470825526686,0.6196360920431725
YearBuilt_1882.0,0.02645496921262861,0.8708166847554167
YearBuilt_1885.0,1.5409445524868315,0.2146769382440139
YearBuilt_1890.0,0.475620862988578,0.4905223571527475
YearBuilt_1892.0,3.8703556959210226,0.049335443982676225
YearBuilt_1893.0,3.2966665303675984,0.06962596446234197
YearBuilt_1898.0,0.8899556638075371,0.3456456144129404
YearBuilt_1900.0,7.503881292690888,0.006231632030360065
YearBuilt_1904.0,0.08692365576840243,0.768167111710581
YearBuilt_1905.0,0.050891246908700345,0.8215512480657777
YearBuilt_1906.0,0.33421033679643886,0.5632796196742142
YearBuilt_1908.0,0.0021089149144038525,0.9633779718944604
YearBuilt_1910.0,13.068587863246371,0.0003105096381789083
YearBuilt_1911.0,0.41097324319668804,0.5215766904039341
YearBuilt_1912.0,1.7999256227284668,0.17993040276992883
YearBuilt_1913.0,1.3009526960961604,0.2542265955918735
YearBuilt_1914.0,3.3603665563702627,0.06698699371297759
YearBuilt_1915.0,3.46055629044361,0.06305039593142857
YearBuilt_1916.0,2.156980005177553,0.14213909708854447
YearBuilt_1917.0,0.41908596792878944,0.5174953933389892
YearBuilt_1918.0,0.08046735369793728,0.7767053385238838
YearBuilt_1919.0,0.3240294304373526,0.5692837881251579
YearBuilt_1920.0,22.788510554807118,1.990169182066422e-06
YearBuilt_1921.0,1.536216703504132,0.21538128742938434
YearBuilt_1922.0,6.57457015938866,0.010444048282147008
YearBuilt_1923.0,0.5146522193604128,0.47324676706840485
YearBuilt_1924.0,6.280924358167311,0.012312628636479571
YearBuilt_1925.0,6.887208737525341,0.008772147631842813
YearBuilt_1926.0,4.637078877233885,0.0314517617761029
YearBuilt_1927.0,4.609853066909192,0.03195325601202724
YearBuilt_1928.0,2.2955598302154203,0.129961175621045
YearBuilt_1929.0,0.49529438764234635,0.481687432599621
YearBuilt_1930.0,8.625973683443888,0.0033660455477386806
YearBuilt_1931.0,2.815221948102823,0.09358830080440476
YearBuilt_1932.0,1.748433314071533,0.18628119775652893
YearBuilt_1934.0,0.7561257836724783,0.38468680043147097
YearBuilt_1935.0,0.375523994450672,0.5401040758826501
YearBuilt_1936.0,2.6601447106723795,0.1031073457383454
YearBuilt_1937.0,1.9057926792849065,0.1676429637059285
YearBuilt_1938.0,3.280011882288431,0.07033414853357099
YearBuilt_1939.0,1.1546214533180048,0.28276159535640244
YearBuilt_1940.0,6.940836588176184,0.008514195907305296
YearBuilt_1941.0,8.69690655096454,0.0032382877779245805
YearBuilt_1942.0,0.11354099762526873,0.7361967180532234
YearBuilt_1945.0,2.148426892286674,0.14293167016192537
YearBuilt_1946.0,3.824244917659228,0.05070687498776666
YearBuilt_1947.0,3.232853330571189,0.07238164312579312
YearBuilt_1948.0,4.180740547521382,0.041065089980714446
YearBuilt_1949.0,9.287176228443055,0.0023491106229156416
YearBuilt_1950.0,9.035746862979245,0.002692749712558464
YearBuilt_1951.0,1.8763661480163003,0.17095864720334472
YearBuilt_1952.0,3.9617889816825396,0.04673065725092305
YearBuilt_1953.0,2.295581051869467,0.12995940248068616
YearBuilt_1954.0,6.610965900401112,0.010233667360582403
YearBuilt_1955.0,5.536804103022291,0.018752783589641282
YearBuilt_1956.0,4.569016919417466,0.032721169402293554
YearBuilt_1957.0,3.084574677992947,0.07924785407584665
YearBuilt_1958.0,5.524577139751655,0.018883774527144046
YearBuilt_1959.0,3.0160576705294173,0.08265486765034996
YearBuilt_1960.0,1.0227023002701596,0.31204666669681463
YearBuilt_1961.0,3.7860426716698763,0.051873642344306664
YearBuilt_1962.0,3.78210171865552,0.05199561375782703
YearBuilt_1963.0,3.614584515105484,0.05747202617002949
YearBuilt_1964.0,0.8693838347777144,0.3512803188108993
YearBuilt_1965.0,2.9932981162214167,0.08382133312363008
YearBuilt_1966.0,1.3180219189606759,0.2511356920019402
YearBuilt_1967.0,3.823376538551864,0.05073308607295383
YearBuilt_1968.0,0.779966025058323,0.3772971224716948
YearBuilt_1969.0,0.9134662446486155,0.3393548302476086
YearBuilt_1970.0,8.320279678424637,0.00397809688502174
YearBuilt_1971.0,8.577021459377818,0.0034571949608723537
YearBuilt_1972.0,6.049797298453752,0.014023273581701062
YearBuilt_1973.0,3.0319039119192994,0.08185308687602298
YearBuilt_1974.0,0.0072252819796845376,0.9322717420235779
YearBuilt_1975.0,0.5973989520232253,0.43969744867197125
YearBuilt_1976.0,1.56296526063228,0.21143219323846485
YearBuilt_1977.0,1.0248558687693983,0.311537914764024
YearBuilt_1978.0,1.0211050225548641,0.3124247026846438
YearBuilt_1979.0,0.8629284762358114,0.3530742373179606
YearBuilt_1980.0,0.41447582201382954,0.5198077064088263
YearBuilt_1981.0,3.7875855407706283,0.05182597354337003
YearBuilt_1982.0,2.2494099036347253,0.13388186080309636
YearBuilt_1983.0,0.00014560076251849278,0.9903741991405177
YearBuilt_1984.0,0.4053077123994271,0.5244607211572707
YearBuilt_1985.0,0.08723799797054961,0.7677603356002118
YearBuilt_1986.0,0.7677387945513447,0.38106181821005203
YearBuilt_1987.0,0.13885682408408842,0.7094742992292392
YearBuilt_1988.0,0.9876886333930547,0.32047285422678085
YearBuilt_1989.0,4.640428592882272,0.03139063104160039
YearBuilt_1990.0,3.0657402847285997,0.08016902547881309
YearBuilt_1991.0,0.021637381307602788,0.8830761866818455
YearBuilt_1992.0,2.92084199278209,0.08765503653228651
YearBuilt_1993.0,3.766001501938838,0.0524970757616714
YearBuilt_1994.0,13.804037014041695,0.000210563164264568
YearBuilt_1995.0,19.313765529816948,1.1892886757598719e-05
YearBuilt_1996.0,14.840373486924737,0.0001220790325343773
YearBuilt_1997.0,2.59260036069048,0.10758040292165937
YearBuilt_1998.0,6.320381497407212,0.012042780049105476
YearBuilt_1999.0,3.5597532725159327,0.059395079470678055
YearBuilt_2000.0,3.4497632202308206,0.06346234422152991
YearBuilt_2001.0,12.330149816583276,0.0004592887073322568
YearBuilt_2002.0,7.854051289545873,0.005137791131693525
YearBuilt_2003.0,16.063275324177475,6.435560883462863e-05
YearBuilt_2004.0,7.729152733443194,0.005503464846377432
YearBuilt_2005.0,25.641193448205335,4.6359814404147474e-07
YearBuilt_2006.0,58.044238962998904,4.587398233578148e-14
YearBuilt_2007.0,45.88885464130319,1.8101538857779723e-11
YearBuilt_2008.0,112.38680503858377,2.3947037850286036e-25
YearBuilt_2009.0,22.85178921944442,1.9266905380978216e-06
YearBuilt_2010.0,7.259230950168655,0.00713471346068674
YearRemodAdd_1951.0,1.650299189429963,0.19912227665879395
YearRemodAdd_1952.0,3.9617889816825396,0.04673065725092305
YearRemodAdd_1953.0,1.7680943598531191,0.1838260829484486
YearRemodAdd_1954.0,8.042400272167173,0.00463261559065032
YearRemodAdd_1955.0,4.57719195047635,0.03256591032613304
YearRemodAdd_1956.0,5.141201093647549,0.023510326461847187
YearRemodAdd_1957.0,3.3479626976533874,0.06749234276038364
YearRemodAdd_1958.0,6.65333934600609,0.00999420370300873
YearRemodAdd_1959.0,5.832266874538929,0.01585722186543585
YearRemodAdd_1960.0,2.4470238300723905,0.11796493901016589
YearRemodAdd_1961.0,3.0696296121664552,0.07997786023126488
YearRemodAdd_1962.0,2.8182169573970652,0.09341416416525633
YearRemodAdd_1963.0,3.526432347063226,0.0605970778163074
YearRemodAdd_1964.0,0.8271036822344932,0.3632616804668247
YearRemodAdd_1965.0,4.1779937142681005,0.041131502711188934
YearRemodAdd_1966.0,2.310823384941536,0.12869279683650592
YearRemodAdd_1967.0,4.702392502061718,0.03028191447418878
YearRemodAdd_1968.0,2.111740474167033,0.1463881748088871
YearRemodAdd_1969.0,1.250237976444206,0.2636912269462692
YearRemodAdd_1970.0,7.273744224100989,0.007077581160125214
YearRemodAdd_1971.0,10.7072427191582,0.0010921357372790394
YearRemodAdd_1972.0,9.280239755449003,0.002357965754170004
YearRemodAdd_1973.0,3.0786481246702797,0.07953647874914974
YearRemodAdd_1974.0,0.5180799108061817,0.4717772493639648
YearRemodAdd_1975.0,0.06265679427795465,0.8023802665364359
YearRemodAdd_1976.0,2.1527354611749305,0.14253179707082192
