Feature,F-value,p-value
MSSubClass,33.73207641062383,8.66216626609302e-79
OverallQual,349.02683956930736,0.0
OverallCond,26.00317308892095,7.962288819950615e-38
YearBuilt,9.52631076219757,9.128103646615598e-107
YearRemodAdd,10.477192602730359,2.354747702062579e-76
BsmtFullBath,27.448014806098907,2.88243552729416e-17
BsmtHalfBath,0.22146079841172592,0.8013743052059724
FullBath,246.06700392492812,3.8021879324489406e-129
HalfBath,74.46970052103694,1.6091449454034875e-31
BedroomAbvGr,12.92541345911101,3.3043196450461637e-16
KitchenAbvGr,9.835524893747184,2.011735142857873e-06
TotRmsAbvGrd,56.16423822142647,1.1917103366526644e-103
Fireplaces,146.74117584536646,4.4210010307257784e-83
GarageCars,351.2074862087727,1.1211287650614395e-211
MoSold,0.9578652656318107,0.48335232989243127
YrSold,0.6455252211679311,0.6300887663573457
