,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
LotFrontage,1.0,0.30679460475961684,0.17928345178670416,0.2158284351369451,0.043339566454315026,0.12215560013433031,0.363357722769808,0.4142663943689,0.07248266577057537,0.036848720754827355,0.36839196575161015,0.3236628987251518,0.07710622093160178,0.13745449594308445,0.009790060535369077,0.06233547131161286,0.03768430454447578,0.18086764703385486,0.0011682748830299965,0.33490085154055105
LotArea,0.30679460475961684,1.0,0.10396022722614912,0.21410313070557724,0.11116974549624858,-0.0026183599500954127,0.2608331345451578,0.2994745785077634,0.050985948293493816,0.004778969866349567,0.2631161671671482,0.18040275515111662,0.17169768725711274,0.08477380884021643,-0.018339733672212342,0.020422829586133385,0.043160377695251904,0.07767239188017439,0.03806769201918337,0.2638433538714057
MasVnrArea,0.17928345178670416,0.10396022722614912,1.0,0.26358238758890074,-0.07230224674006433,0.11418365873851673,0.3624520940543847,0.3421603376753376,0.17401934374124509,-0.06906810496036347,0.38989291569738255,0.37256701312234525,0.1593494304815379,0.12496527507683143,-0.10984865238354327,0.0187948144716695,0.06145317897864527,0.01172290882681368,-0.0298147620218354,0.4752413167736676
BsmtFinSF1,0.2158284351369451,0.21410313070557724,0.26358238758890074,1.0,-0.05011740004715103,-0.4952514692570114,0.5223960519923849,0.4458626560920056,-0.13707898608005373,-0.06450259692146845,0.2081711301453267,0.296970385344513,0.20430614523740306,0.11176061335675096,-0.10230330550073166,0.02645050618989899,0.06202062266535021,0.1404912862549568,0.003571473474954716,0.38641980624215305
BsmtFinSF2,0.043339566454315026,0.11116974549624858,-0.07230224674006433,-0.05011740004715103,1.0,-0.209294492419945,0.10480953760636791,0.09711744845667021,-0.09926031602264425,0.01480699794683367,-0.009639891551805462,-0.018226591907316538,0.06789832641361235,0.0030925622098943763,0.036543339448210164,-0.029993397993921023,0.08887125137339073,0.041709054681333575,0.004939781228437705,-0.011378121450215151
BsmtUnfSF,0.12215560013433031,-0.0026183599500954127,0.11418365873851673,-0.4952514692570114,-0.209294492419945,1.0,0.4153596051815895,0.31798743835272625,0.00446909214454243,0.028166688132741164,0.24025726834993547,0.1833026977425839,-0.005316424333062006,0.12900541461542134,-0.0025378545897515527,0.02076400569654801,-0.012579273444256824,-0.03509224079365792,-0.023836645134507794,0.21447910554696897
TotalBsmtSF,0.363357722769808,0.2608331345451578,0.3624520940543847,0.5223960519923849,0.10480953760636791,0.4153596051815895,1.0,0.819529975005034,-0.17451195013496076,-0.03324538734745638,0.4548682025479023,0.48666546377379627,0.2320186091290181,0.2472637462881082,-0.09547773670640768,0.03738372726300494,0.08448898591431157,0.12605313210083754,-0.01847892243147204,0.6135805515591957
1stFlrSF,0.4142663943689,0.2994745785077634,0.3421603376753376,0.4458626560920056,0.09711744845667021,0.31798743835272625,0.819529975005034,1.0,-0.20264618100232093,-0.014240672666431108,0.566023968935749,0.4897816541041926,0.23545862278369842,0.21167122549798476,-0.06529170091030914,0.056104374484875257,0.08875807262015678,0.1315249756402827,-0.021095719463122328,0.6058521846919154
2ndFlrSF,0.07248266577057537,0.050985948293493816,0.17401934374124509,-0.13707898608005373,-0.09926031602264425,0.00446909214454243,-0.17451195013496076,-0.20264618100232093,1.0,0.0633529501093229,0.6875010641666042,0.1383469585718667,0.09216541758603876,0.2080260631813583,0.06198869077325222,-0.024357648422047917,0.0406064476410011,0.08148687804909947,0.016196874604388425,0.31933380283206786
LowQualFinSF,0.036848720754827355,0.004778969866349567,-0.06906810496036347,-0.06450259692146845,0.01480699794683367,0.028166688132741164,-0.03324538734745638,-0.014240672666431108,0.0633529501093229,1.0,0.13468281300660054,-0.06760141323952222,-0.02544364798879104,0.018251039053999024,0.06108123777122687,-0.004295610410300094,0.02679941302177244,0.06215737226918922,-0.003792870779996453,-0.025606130000679485
