,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
LotFrontage,1.0,0.4260950187718081,0.19345806055826867,0.233633167019755,0.0498996766909894,0.13264374162493364,0.3920745763791721,0.45718100199465517,0.08017727062420475,0.038468534328959476,0.40279741408531955,0.3449967241064819,0.0885209332894081,0.15197222768060642,0.01070033663888244,0.07002922773085365,0.04138279067500582,0.2061667752760768,0.003367556596191435,0.35179909657067737
LotArea,0.4260950187718081,1.0,0.10415982154021264,0.21410313070557713,0.11116974549624871,-0.00261835995009543,0.2608331345451572,0.29947457850776266,0.05098594829349377,0.004778969866349555,0.26311616716714803,0.1804027551511169,0.17169768725711246,0.08477380884021642,-0.018339733672212328,0.020422829586133416,0.04316037769525204,0.07767239188017444,0.03806769201918336,0.2638433538714051
MasVnrArea,0.19345806055826867,0.10415982154021264,1.0,0.2647362647138685,-0.0723188482033582,0.11444206231380821,0.3639362217744723,0.3445007468899248,0.1745614734574279,-0.06907085606589286,0.39085663973843854,0.37306648160023664,0.15971813436595433,0.1257027966825031,-0.11020383387243517,0.018795515294914033,0.06146554318732188,0.01172306121326672,-0.02981539358527878,0.47749304709571444
BsmtFinSF1,0.233633167019755,0.21410313070557713,0.2647362647138685,1.0,-0.0501174000471511,-0.49525146925701125,0.5223960519923867,0.4458626560920054,-0.13707898608005356,-0.06450259692146844,0.20817113014532704,0.2969703853445138,0.20430614523740265,0.11176061335675101,-0.10230330550073197,0.026450506189898953,0.06202062266534991,0.1404912862549568,0.003571473474954695,0.3864198062421535
BsmtFinSF2,0.0498996766909894,0.11116974549624871,-0.0723188482033582,-0.0501174000471511,1.0,-0.20929449241994497,0.10480953760636813,0.0971174484566702,-0.09926031602264425,0.01480699794683367,-0.009639891551805443,-0.018226591907316552,0.06789832641361218,0.003092562209894399,0.036543339448210164,-0.029993397993921023,0.08887125137339073,0.041709054681333575,0.004939781228437705,-0.011378121450215146
BsmtUnfSF,0.13264374162493364,-0.00261835995009543,0.11444206231380821,-0.49525146925701125,-0.20929449241994497,1.0,0.4153596051815893,0.3179874383527259,0.004469092144542392,0.028166688132741206,0.240257268349935,0.18330269774258412,-0.005316424333062066,0.12900541461542128,-0.002537854589751547,0.02076400569654798,-0.012579273444256824,-0.035092240793657914,-0.023836645134507763,0.21447910554696928
TotalBsmtSF,0.3920745763791721,0.2608331345451572,0.3639362217744723,0.5223960519923867,0.10480953760636813,0.4153596051815893,1.0,0.8195299750050339,-0.17451195013496046,-0.0332453873474563,0.45486820254790317,0.4866654637737961,0.23201860912901803,0.2472637462881078,-0.09547773670640776,0.03738372726300508,0.08448898591431157,0.12605313210083768,-0.018478922431472124,0.6135805515591943
1stFlrSF,0.45718100199465517,0.29947457850776266,0.3445007468899248,0.4458626560920054,0.0971174484566702,0.3179874383527259,0.8195299750050339,1.0,-0.20264618100232087,-0.014240672666431285,0.5660239689357486,0.4897816541041918,0.23545862278369778,0.2116712254979847,-0.0652917009103091,0.05610437448487508,0.08875807262015682,0.13152497564028254,-0.021095719463122223,0.6058521846919153
2ndFlrSF,0.08017727062420475,0.05098594829349377,0.1745614734574279,-0.13707898608005356,-0.09926031602264425,0.004469092144542392,-0.17451195013496046,-0.20264618100232087,1.0,0.06335295010932271,0.6875010641666033,0.13834695857186657,0.09216541758603868,0.2080260631813579,0.06198869077325203,-0.02435764842204794,0.040606447641001006,0.08148687804909954,0.016196874604388505,0.31933380283206736
LowQualFinSF,0.038468534328959476,0.004778969866349555,-0.06907085606589286,-0.06450259692146844,0.01480699794683367,0.028166688132741206,-0.0332453873474563,-0.014240672666431285,0.06335295010932271,1.0,0.13468281300660076,-0.06760141323952208,-0.025443647988791077,0.018251039053999052,0.06108123777122687,-0.004295610410300094,0.02679941302177244,0.06215737226918922,-0.003792870779996453,-0.02560613000067955
GrLivArea,0.40279741408531955,0.26311616716714803,0.39085663973843854,0.20817113014532704,-0.009639891551805443,0.240257268349935,0.45486820254790317,0.5660239689357486,0.6875010641666033,0.13468281300660076,1.0,0.4689974773229655,0.24743282051884846,0.33022396171200064,0.009113210326003087,0.020643189710186576,0.10151039568208567,0.1702053360005616,-0.0024156395502935623,0.7086244776126515
GarageArea,0.3449967241064819,0.1804027551511169,0.37306648160023664,0.2969703853445138,-0.018226591907316552,0.18330269774258412,0.4866654637737961,0.4897816541041918,0.13834695857186657,-0.06760141323952208,0.4689974773229655,1.0,0.2246663071787637,0.2414346721380881,-0.1217767195610043,0.03508670020815975,0.05141176244520852,0.061047271702060014,-0.02739991441262488,0.6234314389183622
WoodDeckSF,0.0885209332894081,0.17169768725711246,0.15971813436595433,0.20430614523740265,0.06789832641361218,-0.005316424333062066,0.23201860912901803,0.23545862278369778,0.09216541758603868,-0.025443647988791077,0.24743282051884846,0.2246663071787637,1.0,0.058660608565887375,-0.1259888880376007,-0.03277063359357436,-0.07418135123983237,0.07337820695645396,-0.009551228238372468,0.32441344456812926
OpenPorchSF,0.15197222768060642,0.08477380884021642,0.1257027966825031,0.11176061335675101,0.003092562209894399,0.12900541461542128,0.2472637462881078,0.2116712254979847,0.2080260631813579,0.018251039053999052,0.33022396171200064,0.2414346721380881,0.058660608565887375,1.0,-0.09307931750864903,-0.005842499340135753,0.07430394385024312,0.060762111489925795,-0.018583738987649336,0.31585622711605504
EnclosedPorch,0.01070033663888244,-0.018339733672212328,-0.11020383387243517,-0.10230330550073197,0.036543339448210164,-0.002537854589751547,-0.09547773670640776,-0.0652917009103091,0.06198869077325203,0.06108123777122687,0.009113210326003087,-0.1217767195610043,-0.1259888880376007,-0.09307931750864903,1.0,-0.03730528278804611,-0.08286424483260343,0.05420256229213969,0.018360600139447715,-0.1285779579259566
3SsnPorch,0.07002922773085365,0.020422829586133416,0.018795515294914033,0.026450506189898953,-0.029993397993921023,0.02076400569654798,0.03738372726300508,0.05610437448487508,-0.02435764842204794,-0.004295610410300094,0.020643189710186576,0.03508670020815975,-0.03277063359357436,-0.005842499340135753,-0.03730528278804611,1.0,-0.03143584703909575,-0.00799154887286895,0.00035396527793940183,0.04458366533574838
